Date,Indian rupee (INR)
1982-12-14,4358.26
1982-12-15,4234.91
1982-12-16,4267.7
1982-12-17,4291.12
1982-12-20,4260.87
1982-12-21,4312.16
1982-12-22,4354.9
1982-12-23,4345.18
1982-12-24,4329.7
1982-12-27,4329.7
1982-12-28,4329.7
1982-12-29,4307.2
1982-12-30,4321.81
1982-12-31,4320.02
1983-01-03,4320.02
1983-01-04,4334.15
1983-01-05,4393.94
1983-01-06,4456.0
1983-01-07,4390.96
1983-01-10,4611.82
1983-01-11,4784.73
1983-01-12,4726.51
1983-01-13,4797.19
1983-01-14,4722.73
1983-01-17,4837.61
1983-01-18,4781.93
1983-01-19,4870.57
1983-01-20,4788.12
1983-01-21,4846.29
1983-01-24,4693.7
1983-01-25,4748.68
1983-01-26,4770.12
1983-01-27,4863.27
1983-01-28,4865.53
1983-01-31,5003.53
1983-02-01,5017.47
1983-02-02,4952.47
1983-02-03,5012.12
1983-02-04,4980.56
1983-02-07,4830.03
1983-02-08,4900.26
1983-02-09,4847.31
1983-02-10,4877.3
1983-02-11,4962.24
1983-02-14,4944.82
1983-02-15,5042.87
1983-02-16,4983.64
1983-02-17,4981.6
1983-02-18,4951.71
1983-02-21,4991.03
1983-02-22,5025.72
1983-02-23,4752.89
1983-02-24,4691.6
1983-02-25,4660.36
1983-02-28,4197.0
1983-03-01,4118.89
1983-03-02,4270.07
1983-03-03,4271.38
1983-03-04,4124.78
1983-03-07,4144.0
1983-03-08,4218.48
1983-03-09,4191.66
1983-03-10,4280.66
1983-03-11,4223.81
1983-03-14,4288.41
1983-03-15,4327.53
1983-03-16,4221.73
1983-03-17,4143.84
1983-03-18,4204.93
1983-03-21,4143.6
1983-03-22,4193.71
1983-03-23,4142.92
1983-03-24,4109.68
1983-03-25,4098.21
1983-03-28,4124.25
1983-03-29,4123.12
1983-03-30,4152.72
1983-03-31,4104.31
1983-04-01,4104.31
1983-04-04,4104.31
1983-04-05,4213.06
1983-04-06,4207.17
1983-04-07,4265.46
1983-04-08,4220.17
1983-04-11,4229.39
1983-04-12,4277.4
1983-04-13,4269.48
1983-04-14,4329.58
1983-04-15,4333.5
1983-04-18,4369.01
1983-04-19,4417.28
1983-04-20,4335.77
1983-04-21,4404.18
1983-04-22,4358.9
1983-04-25,4376.82
1983-04-26,4333.11
1983-04-27,4365.48
1983-04-28,4278.22
1983-04-29,4286.38
1983-05-02,4286.38
1983-05-03,4306.7
1983-05-04,4349.89
